cdate,acode,aname,scode,sname,fdust,ufdust,ozone,nd,cm,sagas,ozone(ug/m^3),nd(ug/m^3),cm(ug/m^3),sagas(ug/m^3),fdust^2,ufdust^2,ozone^2,nd^2,cm^2,sagas^2
2018-10-10,100,도심권,111123,종로구,18,11.0,0.024,0.016,0.4,0.003,51.42857142857142,32.85714285714286,500.0,8.571428571428573,324.0,121.0,2644.897959183673,1079.5918367346942,250000.0,73.46938775510206
2018-10-11,102,동북권,111291,강북구,13,6.0,0.027000000000000003,0.006,0.3,0.002,57.85714285714286,12.321428571428573,375.0,5.714285714285714,169.0,36.0,3347.448979591837,151.81760204081635,140625.0,32.6530612244898
2018-10-11,104,동남권,111274,강동구,21,8.0,0.016,0.019,0.4,0.006,34.285714285714285,39.017857142857146,500.0,17.142857142857146,441.0,64.0,1175.5102040816325,1522.3931760204084,250000.0,293.87755102040825
2018-10-11,104,동남권,111273,송파구,18,8.0,0.018000000000000002,0.016,0.5,0.002,38.57142857142857,32.85714285714286,625.0,5.714285714285714,324.0,64.0,1487.7551020408162,1079.5918367346942,390625.0,32.6530612244898
2018-10-11,104,동남권,111262,서초구,16,4.0,0.017,0.016,0.2,0.003,36.42857142857143,32.85714285714286,250.0,8.571428571428573,256.0,16.0,1327.0408163265308,1079.5918367346942,62500.0,73.46938775510206
2018-10-11,104,동남권,111261,강남구,14,6.0,0.017,0.019,0.3,0.005,36.42857142857143,39.017857142857146,375.0,14.285714285714286,196.0,36.0,1327.0408163265308,1522.3931760204084,140625.0,204.08163265306123
2018-10-11,103,서남권,111301,양천구,17,8.0,0.018000000000000002,0.024,0.4,0.002,38.57142857142857,49.28571428571429,500.0,5.714285714285714,289.0,64.0,1487.7551020408162,2429.0816326530617,250000.0,32.6530612244898
2018-10-11,103,서남권,111281,금천구,19,9.0,0.019,0.016,0.3,0.003,40.71428571428571,32.85714285714286,375.0,8.571428571428573,361.0,81.0,1657.6530612244892,1079.5918367346942,140625.0,73.46938775510206
2018-10-11,103,서남권,111251,관악구,18,9.0,0.019,0.016,0.2,0.003,40.71428571428571,32.85714285714286,250.0,8.571428571428573,324.0,81.0,1657.6530612244892,1079.5918367346942,62500.0,73.46938775510206
2018-10-11,103,서남권,111241,동작구,20,7.0,0.021,0.016,0.3,0.003,45.0,32.85714285714286,375.0,8.571428571428573,400.0,49.0,2025.0,1079.5918367346942,140625.0,73.46938775510206
2018-10-11,103,서남권,111231,영등포구,26,10.0,0.017,0.013,0.4,0.005,36.42857142857143,26.696428571428573,500.0,14.285714285714286,676.0,100.0,1327.0408163265308,712.6992984693878,250000.0,204.08163265306123
2018-10-11,103,서남권,111221,구로구,17,4.0,0.019,0.016,0.2,0.003,40.71428571428571,32.85714285714286,250.0,8.571428571428573,289.0,16.0,1657.6530612244892,1079.5918367346942,62500.0,73.46938775510206
2018-10-11,103,서남권,111212,강서구,16,7.0,0.018000000000000002,0.019,0.3,0.003,38.57142857142857,39.017857142857146,375.0,8.571428571428573,256.0,49.0,1487.7551020408162,1522.3931760204084,140625.0,73.46938775510206
2018-10-11,102,동북권,111311,노원구,19,8.0,0.02,0.015,0.4,0.004,42.857142857142854,30.80357142857143,500.0,11.428571428571429,361.0,64.0,1836.7346938775509,948.8600127551022,250000.0,130.6122448979592
2018-10-11,102,동북권,111171,도봉구,13,7.0,0.023,0.009000000000000001,0.5,0.004,49.28571428571428,18.48214285714286,625.0,11.428571428571429,169.0,49.0,2429.0816326530603,341.58960459183686,390625.0,130.6122448979592
2018-10-11,102,동북권,111161,성북구,18,7.0,0.018000000000000002,0.013,0.4,0.002,38.57142857142857,26.696428571428573,500.0,5.714285714285714,324.0,49.0,1487.7551020408162,712.6992984693878,250000.0,32.6530612244898
2018-10-11,102,동북권,111152,동대문구,14,8.0,0.024,0.015,0.4,0.006,51.42857142857142,30.80357142857143,500.0,17.142857142857146,196.0,64.0,2644.897959183673,948.8600127551022,250000.0,293.87755102040825
2018-10-11,102,동북권,111151,중랑구,12,6.0,0.018000000000000002,0.017,0.4,0.005,38.57142857142857,34.91071428571429,500.0,14.285714285714286,144.0,36.0,1487.7551020408162,1218.7579719387759,250000.0,204.08163265306123
2018-10-11,102,동북권,111142,성동구,19,8.0,0.015,0.017,0.2,0.004,32.14285714285714,34.91071428571429,250.0,11.428571428571429,361.0,64.0,1033.1632653061222,1218.7579719387759,62500.0,130.6122448979592
2018-10-11,102,동북권,111141,광진구,15,2.0,0.016,0.014,0.4,0.005,34.285714285714285,28.750000000000004,500.0,14.285714285714286,225.0,4.0,1175.5102040816325,826.5625000000002,250000.0,204.08163265306123
2018-10-11,101,서북권,111201,마포구,21,8.0,0.014,0.02,0.3,0.002,29.999999999999996,41.07142857142858,375.0,5.714285714285714,441.0,64.0,899.9999999999998,1686.8622448979595,140625.0,32.6530612244898
2018-10-11,101,서북권,111191,서대문구,18,9.0,0.018000000000000002,0.012,0.4,0.003,38.57142857142857,24.642857142857146,500.0,8.571428571428573,324.0,81.0,1487.7551020408162,607.2704081632654,250000.0,73.46938775510206
2018-10-11,101,서북권,111181,은평구,18,10.0,0.021,0.014,0.5,0.004,45.0,28.750000000000004,625.0,11.428571428571429,324.0,100.0,2025.0,826.5625000000002,390625.0,130.6122448979592
2018-10-11,100,도심권,111131,용산구,12,7.0,0.016,0.018000000000000002,0.4,0.002,34.285714285714285,36.96428571428572,500.0,5.714285714285714,144.0,49.0,1175.5102040816325,1366.3584183673474,250000.0,32.6530612244898
2018-10-11,100,도심권,111123,종로구,17,9.0,0.017,0.015,0.4,0.003,36.42857142857143,30.80357142857143,500.0,8.571428571428573,289.0,81.0,1327.0408163265308,948.8600127551022,250000.0,73.46938775510206
2018-10-11,100,도심권,111121,중구,16,8.0,0.021,0.016,0.3,0.002,45.0,32.85714285714286,375.0,5.714285714285714,256.0,64.0,2025.0,1079.5918367346942,140625.0,32.6530612244898
2018-10-12,102,동북권,111311,노원구,23,12.0,0.015,0.026,0.5,0.004,32.14285714285714,53.392857142857146,625.0,11.428571428571429,529.0,144.0,1033.1632653061222,2850.7971938775513,390625.0,130.6122448979592
2018-10-12,104,동남권,111274,강동구,30,12.0,0.006,0.035,0.5,0.006,12.857142857142856,71.87500000000001,625.0,17.142857142857146,900.0,144.0,165.30612244897955,5166.015625000002,390625.0,293.87755102040825
2018-10-12,104,동남권,111273,송파구,24,11.0,0.01,0.028,0.6,0.003,21.428571428571427,57.50000000000001,750.0,8.571428571428573,576.0,121.0,459.1836734693877,3306.250000000001,562500.0,73.46938775510206
2018-10-12,104,동남권,111262,서초구,24,8.0,0.012,0.028,0.3,0.003,25.71428571428571,57.50000000000001,375.0,8.571428571428573,576.0,64.0,661.2244897959182,3306.250000000001,140625.0,73.46938775510206
2018-10-12,104,동남권,111261,강남구,20,10.0,0.011,0.031,0.4,0.005,23.57142857142857,63.66071428571429,500.0,14.285714285714286,400.0,100.0,555.612244897959,4052.686543367348,250000.0,204.08163265306123
2018-10-12,103,서남권,111301,양천구,21,10.0,0.017,0.032,0.4,0.002,36.42857142857143,65.71428571428572,500.0,5.714285714285714,441.0,100.0,1327.0408163265308,4318.367346938777,250000.0,32.6530612244898
2018-10-12,103,서남권,111281,금천구,22,12.0,0.015,0.026,0.4,0.003,32.14285714285714,53.392857142857146,500.0,8.571428571428573,484.0,144.0,1033.1632653061222,2850.7971938775513,250000.0,73.46938775510206
2018-10-12,103,서남권,111251,관악구,27,14.0,0.014,0.03,0.3,0.003,29.999999999999996,61.60714285714286,375.0,8.571428571428573,729.0,196.0,899.9999999999998,3795.4400510204086,140625.0,73.46938775510206
2018-10-12,103,서남권,111241,동작구,24,9.0,0.016,0.026,0.4,0.003,34.285714285714285,53.392857142857146,500.0,8.571428571428573,576.0,81.0,1175.5102040816325,2850.7971938775513,250000.0,73.46938775510206
2018-10-12,103,서남권,111231,영등포구,32,15.0,0.016,0.016,0.5,0.005,34.285714285714285,32.85714285714286,625.0,14.285714285714286,1024.0,225.0,1175.5102040816325,1079.5918367346942,390625.0,204.08163265306123
2018-10-12,103,서남권,111221,구로구,24,7.0,0.017,0.025,0.2,0.003,36.42857142857143,51.33928571428572,250.0,8.571428571428573,576.0,49.0,1327.0408163265308,2635.722257653062,62500.0,73.46938775510206
2018-10-12,103,서남권,111212,강서구,21,10.0,0.017,0.026,0.4,0.003,36.42857142857143,53.392857142857146,500.0,8.571428571428573,441.0,100.0,1327.0408163265308,2850.7971938775513,250000.0,73.46938775510206
2018-10-12,102,동북권,111291,강북구,17,10.0,0.017,0.019,0.4,0.002,36.42857142857143,39.017857142857146,500.0,5.714285714285714,289.0,100.0,1327.0408163265308,1522.3931760204084,250000.0,32.6530612244898
2018-10-12,102,동북권,111171,도봉구,23,12.0,0.015,0.021,0.7,0.004,32.14285714285714,43.12500000000001,875.0,11.428571428571429,529.0,144.0,1033.1632653061222,1859.7656250000007,765625.0,130.6122448979592
2018-10-12,102,동북권,111161,성북구,26,12.0,0.011,0.028,0.6,0.003,23.57142857142857,57.50000000000001,750.0,8.571428571428573,676.0,144.0,555.612244897959,3306.250000000001,562500.0,73.46938775510206
2018-10-12,102,동북권,111152,동대문구,20,12.0,0.018000000000000002,0.026,0.5,0.006999999999999999,38.57142857142857,53.392857142857146,625.0,20.0,400.0,144.0,1487.7551020408162,2850.7971938775513,390625.0,400.0
2018-10-12,102,동북권,111151,중랑구,18,9.0,0.011,0.028,0.5,0.005,23.57142857142857,57.50000000000001,625.0,14.285714285714286,324.0,81.0,555.612244897959,3306.250000000001,390625.0,204.08163265306123
2018-10-12,102,동북권,111142,성동구,24,11.0,0.009000000000000001,0.026,0.3,0.005,19.285714285714285,53.392857142857146,375.0,14.285714285714286,576.0,121.0,371.93877551020404,2850.7971938775513,140625.0,204.08163265306123
2018-10-12,102,동북권,111141,광진구,24,8.0,0.01,0.025,0.5,0.005,21.428571428571427,51.33928571428572,625.0,14.285714285714286,576.0,64.0,459.1836734693877,2635.722257653062,390625.0,204.08163265306123
2018-10-12,101,서북권,111201,마포구,28,13.0,0.015,0.025,0.4,0.003,32.14285714285714,51.33928571428572,500.0,8.571428571428573,784.0,169.0,1033.1632653061222,2635.722257653062,250000.0,73.46938775510206
2018-10-12,101,서북권,111191,서대문구,23,13.0,0.017,0.019,0.4,0.003,36.42857142857143,39.017857142857146,500.0,8.571428571428573,529.0,169.0,1327.0408163265308,1522.3931760204084,250000.0,73.46938775510206
2018-10-12,101,서북권,111181,은평구,23,14.0,0.021,0.02,0.6,0.004,45.0,41.07142857142858,750.0,11.428571428571429,529.0,196.0,2025.0,1686.8622448979595,562500.0,130.6122448979592
2018-10-12,100,도심권,111131,용산구,16,10.0,0.014,0.024,0.4,0.003,29.999999999999996,49.28571428571429,500.0,8.571428571428573,256.0,100.0,899.9999999999998,2429.0816326530617,250000.0,73.46938775510206
2018-10-12,100,도심권,111123,종로구,22,13.0,0.017,0.042,0.6,0.003,36.42857142857143,86.25000000000001,750.0,8.571428571428573,484.0,169.0,1327.0408163265308,7439.062500000003,562500.0,73.46938775510206
2018-10-12,100,도심권,111121,중구,21,12.0,0.02,0.024,0.4,0.003,42.857142857142854,49.28571428571429,500.0,8.571428571428573,441.0,144.0,1836.7346938775509,2429.0816326530617,250000.0,73.46938775510206
2018-10-13,101,서북권,111201,마포구,43,26.0,0.012,0.039,0.5,0.003,25.71428571428571,80.08928571428572,625.0,8.571428571428573,1849.0,676.0,661.2244897959182,6414.2936862244915,390625.0,73.46938775510206
2018-10-13,104,동남권,111274,강동구,36,15.0,0.01,0.037000000000000005,0.5,0.006999999999999999,21.428571428571427,75.98214285714288,625.0,20.0,1296.0,225.0,459.1836734693877,5773.286033163268,390625.0,400.0
